slug,url,name,family,category_slug,image_url,ram_gb,storage_gb,chip,cpu_cores,gpu_cores,screen_size,color,model_group,config_key,first_seen,last_seen
apple-iphone-17-256gb,https://applemac.pk/product/apple-iphone-17-256gb,Apple Iphone 17 256GB,iphone,iphone-17,https://applemac.pk/public/uploads/products/1771242510.webp,8,256,A19,6,5,6.3,"Black, White, Mist Blue, Sage, Lavender",iphone_scr6_3_chipa19,iphone_scr6_3_chipa19_ram8_ssd256,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-1tb,https://applemac.pk/product/apple-iphone-17-pro-1tb,Apple Iphone 17 Pro 1TB,iphone,iphone-17-pro,https://applemac.pk/public/uploads/products/1771484297.webp,12,1024,A19 Pro,6,5,6.3,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_3_chipa19_pro,iphone_scr6_3_chipa19_pro_ram12_ssd1024,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-256gb,https://applemac.pk/product/apple-iphone-17-pro-256gb,Apple Iphone 17 Pro 256GB,iphone,iphone-17-pro,https://applemac.pk/public/uploads/products/1771484073.webp,12,256,A19 Pro,6,5,6.3,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_3_chipa19_pro,iphone_scr6_3_chipa19_pro_ram12_ssd256,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-512gb,https://applemac.pk/product/apple-iphone-17-pro-512gb,Apple Iphone 17 Pro 512GB,iphone,iphone-17-pro,https://applemac.pk/public/uploads/products/1771484229.webp,12,512,A19 Pro,6,5,6.3,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_3_chipa19_pro,iphone_scr6_3_chipa19_pro_ram12_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-max-1tb,https://applemac.pk/product/apple-iphone-17-pro-max-1tb,Apple iphone 17 Pro Max 1TB,iphone,iphone-17-pro-max,https://applemac.pk/public/uploads/products/1771484513.webp,12,1024,A19 Pro,6,5,6.9,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_9_chipa19_pro,iphone_scr6_9_chipa19_pro_ram12_ssd1024,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-max-256gb,https://applemac.pk/product/apple-iphone-17-pro-max-256gb,Apple iphone 17 Pro Max 256GB,iphone,iphone-17-pro-max,https://applemac.pk/public/uploads/products/1771484598.webp,12,256,A19 Pro,6,5,6.9,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_9_chipa19_pro,iphone_scr6_9_chipa19_pro_ram12_ssd256,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-max-2tb,https://applemac.pk/product/apple-iphone-17-pro-max-2tb,Apple iphone 17 Pro Max 2TB,iphone,iphone-17-pro-max,https://applemac.pk/public/uploads/products/1771219237.webp,12,2048,A19 Pro,6,5,6.9,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_9_chipa19_pro,iphone_scr6_9_chipa19_pro_ram12_ssd2048,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-17-pro-max-512gb,https://applemac.pk/product/apple-iphone-17-pro-max-512gb,Apple iphone 17 Pro Max 512GB,iphone,iphone-17-pro-max,https://applemac.pk/public/uploads/products/1771484542.webp,12,512,A19 Pro,6,5,6.9,"Silver, Cosmic Orange, Deep Blue",iphone_scr6_9_chipa19_pro,iphone_scr6_9_chipa19_pro_ram12_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-air-1tb,https://applemac.pk/product/apple-iphone-air-1tb,Apple Iphone Air 1TB,iphone,iphone-air-series,https://applemac.pk/public/uploads/products/1771244774.webp,12,1024,Apple A19 Pro,6,5,6.5,"Space Black, Cloud White, Light Gold, Sky Blue",iphone_scr6_5_chipapple_a19_pro,iphone_scr6_5_chipapple_a19_pro_ram12_ssd1024,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-air-256gb,https://applemac.pk/product/apple-iphone-air-256gb,Apple Iphone Air 256GB,iphone,iphone-air-series,https://applemac.pk/public/uploads/products/1771245015.webp,12,256,Apple A19 Pro,6,5,6.5,"Space Black, Cloud White, Light Gold, Sky Blue",iphone_scr6_5_chipapple_a19_pro,iphone_scr6_5_chipapple_a19_pro_ram12_ssd256,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-iphone-air-512gb,https://applemac.pk/product/apple-iphone-air-512gb,Apple Iphone Air 512GB,iphone,iphone-air-series,https://applemac.pk/public/uploads/products/1771244946.webp,12,512,Apple A19 Pro,6,5,6.5,"Space Black, Cloud White, Light Gold, Sky Blue",iphone_scr6_5_chipapple_a19_pro,iphone_scr6_5_chipapple_a19_pro_ram12_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-2tb-midnight,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-2tb-midnight,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 16GB 2TB Midnight,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1772696586.webp,16,2048,M5,10,10,13.0,Midnight,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram16_ssd2048,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-4tb-midnight,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-4tb-midnight,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 16GB 4TB Midnight,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1772696586.webp,16,4096,M5,10,10,13.0,Midnight,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram16_ssd4096,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-512gb-midnight,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-16gb-512gb-midnight,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 16GB 512GB Midnight,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1772696586.webp,16,512,M5,10,10,13.0,Midnight,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram16_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-21T09:02:10.102061+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-24gb-4tb-midnight,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-24gb-4tb-midnight,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 24GB 4TB Midnight,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1772696586.webp,24,4096,M5,10,10,13.0,Midnight,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram24_ssd4096,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-24gb-512gb-midnight,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-24gb-512gb-midnight,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 24GB 512GB Midnight,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1772696586.webp,24,512,M5,10,10,13.0,Midnight,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram24_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-32gb-2tb-sky-blue,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-32gb-2tb-sky-blue,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 32GB 2TB Sky Blue,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1777975596.webp,32,2048,M5,10,10,13.0,Sky Blue,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram32_ssd2048,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-32gb-512gb-sky-blue,https://applemac.pk/product/apple-macbook-air-13-cto-m5-10c-cpu-10c-gpu-32gb-512gb-sky-blue,Apple MacBook Air 13 CTO M5 10C CPU 10C GPU 32GB 512GB Sky Blue,macbook_air,macbook-air-13,https://applemac.pk/public/uploads/products/1777975596.webp,32,512,M5,10,10,13.0,Sky Blue,macbook_air_scr13_0_chipm5,macbook_air_scr13_0_chipm5_ram32_ssd512,2026-09-16T00:22:18.878661+00:00,2026-09-22T08:36:51.699127+00:00
