run_id,started_at,finished_at,status,fx_rate,duty_percent,product_count,notes
20260916T002218878661+0000,2026-09-16T00:22:18.878661+00:00,2026-09-16T00:23:04.750504+00:00,ok,277.757506,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T005126895248+0000,2026-09-16T00:51:26.895248+00:00,2026-09-16T00:52:03.310202+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T005414352292+0000,2026-09-16T00:54:14.352292+00:00,2026-09-16T00:54:50.594469+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T023959735838+0000,2026-09-16T02:39:59.735838+00:00,2026-09-16T02:40:39.006680+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T030934206681+0000,2026-09-16T03:09:34.206681+00:00,2026-09-16T03:10:14.238415+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T031920685060+0000,2026-09-16T03:19:20.685060+00:00,2026-09-16T03:19:55.738011+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260916T083942872752+0000,2026-09-16T08:39:42.872752+00:00,2026-09-16T08:40:17.104019+00:00,ok,277.720685,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260917T084356123359+0000,2026-09-17T08:43:56.123359+00:00,2026-09-17T08:44:34.088274+00:00,ok,277.510311,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260918T081854429215+0000,2026-09-18T08:18:54.429215+00:00,2026-09-18T08:19:29.495186+00:00,ok,277.281209,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
20260919T080651505066+0000,2026-09-19T08:06:51.505066+00:00,2026-09-19T08:07:29.892176+00:00,ok,277.421451,0.55,171,"macbook-air-13: 3 rows had no usable price; macbook-air-15: 3 rows had no usable price; iphone-16: empty; iphone-16-plus: empty; iphone-16-pro: empty; iphone-16-pro-max: empty; iphone-16e: empty; iphone-17: 1 rows had no usable price; iphone-18-pro: 4 rows had no usable price; iphone-18-pro-max: 4 rows had no usable price; iphone: 13 rows had no usable price; iphone: 3 rows excluded by slug pattern; 276 iPhone products in the sitemap matched no configured category (e.g. apple-iphone-11-4gb-ram-128gb-storage, apple-iphone-11-4gb-ram-64gb-storage-pta-approved, apple-iphone-11-pro-max-64gb-silver-single-sim-pta-approved)"
